tract,Name,Fraction_Married_rP_gF_pall
24005403601,"Baltimore, MD",0.6803
24510272005,"Cross Country, Baltimore, MD",0.6743
24005491202,"Towson, MD",0.6667
24005451702,"Middle River, MD",0.6496
24027601104,"Ellicott City, MD",0.6482
24005403803,"Pikesville, MD",0.6459
24027602100,"Ellicott City, MD",0.6454
24005490800,"Towson, MD",0.6451
24005430600,"Relay, Halethorpe, MD",0.6445
24005400500,"Catonsville, MD",0.6299
24005403500,"Pikesville, MD",0.6226
24510271300,"Roland Park, Baltimore, MD",0.6226
24510271400,"Evergreen, Baltimore, MD",0.6158
24005411308,"Nottingham, MD",0.6105
24005490500,"Towson, MD",0.6096
24027602700,"Taylor Village, Ellicott City, MD",0.604
24003750400,"Linthicum Heights, MD",0.5969
24510272004,"Cheswolde, Baltimore, MD",0.5947
24005401400,"Catonsville, MD",0.5918
24003751200,"Linthicum Heights, MD",0.5906
24005492002,"Parkville, MD",0.5844
24005420303,"Dundalk, MD",0.5829
24005440100,"Baltimore, MD",0.5783
24005411306,"Nottingham, MD",0.5772
24027602800,"Ellicott City, MD",0.5769
24005491100,"Baltimore, MD",0.5759
24005451802,"Middle River, MD",0.5757
24005490602,"Baltimore, MD",0.5753
24005440200,"Nottingham, MD",0.5752
24510271102,"Mid-Charles, Baltimore, MD",0.5705
24005492001,"Parkville, MD",0.5695
24510270501,"Woodring, Baltimore, MD",0.5633
24005400400,"Catonsville, MD",0.5628
24005401503,"Catonsville, MD",0.5619
24005490603,"Baltimore, MD",0.556
24005411302,"White Marsh, MD",0.555
24005430400,"Halethorpe, MD",0.5543
24510271200,"Homeland, Baltimore, MD",0.5508
24005451701,"Middle River, MD",0.5501
24005403602,"Baltimore, MD",0.55
24003750202,"Brooklyn Park, MD",0.5463
24005490601,"Baltimore, MD",0.5462
24005492101,"Parkville, MD",0.5444
24027602900,"Normandy, Ellicott City, MD",0.5414
24027601201,"Elkridge, MD",0.5411
24005491000,"Baltimore, MD",0.5392
24005420702,"Dundalk, MD",0.5385
24027601103,"West Elkridge, Elkridge, MD",0.5377
24510271501,"Mount Washington, Baltimore, MD",0.5369
24005492102,"Parkville, MD",0.5357
24027601108,"Ellicott City, MD",0.533
24005420100,"Dundalk, MD",0.5325
24005411408,"Nottingham, MD",0.5319
24005403702,"Pikesville, MD",0.5314
24027601204,"Elkridge, MD",0.531
24005411307,"Nottingham, MD",0.5304
24027601105,"Ellicott City, MD",0.5296
24005400100,"Catonsville, MD",0.5249
24005440500,"Nottingham, MD",0.5235
24005452500,"Dundalk, MD",0.5228
24005440400,"Baltimore, MD",0.5225
24005401504,"Catonsville, MD",0.5215
24003750801,"Glen Burnie, MD",0.521
24005490400,"Towson, MD",0.5187
24005440800,"Rosedale, MD",0.5179
24003750804,"Glen Burnie, MD",0.5174
24005401000,"Catonsville, MD",0.5163
24005421200,"Dundalk, MD",0.5157
24005411407,"Parkville, MD",0.5138
24005403701,"Owings Mills, MD",0.5108
24005420500,"Baltimore, MD",0.5089
24005400702,"Baltimore, MD",0.5079
24005440702,"Rosedale, MD",0.5075
24027602600,"Ellicott City, MD",0.5058
24005440600,"Rosedale, MD",0.5045
24005430700,"Halethorpe, MD",0.5039
24005452100,"Sparrows Point, MD",0.5037
24510130804,"Hampden, Baltimore, MD",0.5028
24005450400,"Essex, MD",0.5005
24005450300,"Essex, MD",0.4965
24005450900,"Essex, MD",0.4963
24005451801,"Middle River, MD",0.494
24005452400,"Dundalk, MD",0.4926
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.492
24005451200,"Middle River, MD",0.4911
24005441102,"Rosedale, MD",0.49
24005400600,"Catonsville, MD",0.4898
24005450501,"Essex, MD",0.4893
24005420600,"Baltimore, MD",0.4881
24003750300,"Linthicum Heights, MD",0.4875
24025301401,"Harford County, MD",0.486
24005400200,"Catonsville, MD",0.4858
24005451000,"Essex, MD",0.4838
24027606706,"Kendall Ridge, Columbia, MD",0.4819
24510272003,"Baltimore, MD",0.481
24005420302,"Dundalk, MD",0.4807
24005441101,"Rosedale, MD",0.4806
24510272006,"Glen, Baltimore, MD",0.4803
24005420701,"Dundalk, MD",0.478
24005451900,"Edgemere, MD",0.4772
24005430800,"Halethorpe, MD",0.477
24510120202,"Baltimore, MD",0.4735
24005451803,"Middle River, MD",0.4722
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.4702
24005402202,"Baltimore County, MD",0.4692
24510010400,"Canton, Baltimore, MD",0.4686
24510261100,"Canton, Baltimore, MD",0.4684
24005420800,"Dundalk, MD",0.4671
24510230200,"South Baltimore, Baltimore, MD",0.4661
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.4633
24005430900,"Baltimore, MD",0.4613
24005450100,"Rosedale, MD",0.4606
24510010100,"Canton, Baltimore, MD",0.4603
24005491500,"Parkville, MD",0.4596
24003751103,"Glen Burnie, MD",0.459
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.4572
24005403300,"Lochearn, Pikesville, MD",0.4564
24005451300,"Middle River, MD",0.4527
24005421102,"Dundalk, MD",0.4521
24510120201,"Baltimore, MD",0.4519
24005450200,"Essex, MD",0.4481
24005420200,"Dundalk, MD",0.4464
24005420900,"Dundalk, MD",0.4448
24510270703,"North Harford Road, Baltimore, MD",0.4441
24510240400,"Riverside Park, Baltimore, MD",0.4372
