tract,Name,Median_Rent_2012-16
24027606706,"Kendall Ridge, Columbia, MD",2120
24510260900,"Baltimore, MD",2070
24005440600,"Rosedale, MD",2058
24510240200,"Riverside, Baltimore, MD",2054
24027601108,"Ellicott City, MD",1989
24510020300,"Fells Point, Baltimore, MD",1984
24510240100,"Locust Point, Baltimore, MD",1984
24027601203,"Elkridge, MD",1914
24510240400,"Riverside Park, Baltimore, MD",1902
24510010300,"Canton, Baltimore, MD",1897
24510030200,"Little Italy, Baltimore, MD",1850
24027602100,"Ellicott City, MD",1847
24005400100,"Catonsville, MD",1842
24005403100,"Gwynn Oak, Pikesville, MD",1836
24027601103,"West Elkridge, Elkridge, MD",1802
24510230300,"South Baltimore, Baltimore, MD",1802
24510010400,"Canton, Baltimore, MD",1796
24510010100,"Canton, Baltimore, MD",1770
24025306500,"Aberdeen Proving Ground, MD",1761
24510240300,"Riverside, Baltimore, MD",1741
24005451701,"Middle River, MD",1729
24005411308,"Nottingham, MD",1719
24510230200,"South Baltimore, Baltimore, MD",1718
24005402603,"Randallstown, MD",1713
24510010200,"Patterson Park, Baltimore, MD",1690
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",1688
24027601204,"Elkridge, MD",1687
24005490400,"Towson, MD",1686
24510130806,"Woodberry, Baltimore, MD",1665
24005451100,"Essex, MD",1664
24005411407,"Parkville, MD",1663
24027601105,"Ellicott City, MD",1661
24005403803,"Pikesville, MD",1656
24005411306,"Nottingham, MD",1651
24027601107,"Waterloo, Elkridge, MD",1637
24005401503,"Catonsville, MD",1635
24027602700,"Taylor Village, Ellicott City, MD",1628
24005490500,"Towson, MD",1626
24005430700,"Halethorpe, MD",1604
24027602800,"Ellicott City, MD",1602
24005491000,"Baltimore, MD",1600
24005402604,"Randallstown, MD",1596
24003750203,"Baltimore, MD",1594
24510270102,"Waltherson, Baltimore, MD",1573
24005402509,"Owings Mills, MD",1564
24003750801,"Glen Burnie, MD",1556
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",1554
24005402202,"Baltimore County, MD",1548
24027602600,"Ellicott City, MD",1544
24005401504,"Catonsville, MD",1518
24005403201,"Gwynn Oak, Lochearn, MD",1505
24510010500,"Upper Fells Point, Baltimore, MD",1492
24005403702,"Pikesville, MD",1487
24005403602,"Baltimore, MD",1483
24027602900,"Normandy, Ellicott City, MD",1461
24510040100,"Downtown, Baltimore, MD",1445
24027601201,"Elkridge, MD",1438
24005400400,"Catonsville, MD",1434
24005440702,"Rosedale, MD",1428
24510060300,"Butchers Hill, Baltimore, MD",1419
24005491202,"Towson, MD",1414
24005420100,"Dundalk, MD",1400
24005401301,"Woodlawn, MD",1391
24005490601,"Baltimore, MD",1389
24005403701,"Owings Mills, MD",1389
24005402406,"Windsor Mill, Milford Mill, MD",1389
24005403401,"Pikesville, MD",1388
24005452500,"Dundalk, MD",1387
24510130600,"Hampden, Baltimore, MD",1375
24510060200,"Baltimore, MD",1371
24510280402,"Rognel Heights, Baltimore, MD",1369
24005403601,"Baltimore, MD",1367
24510270902,"Perring Loch, Baltimore, MD",1360
24005451200,"Middle River, MD",1353
24005401101,"Woodlawn, MD",1351
24003750300,"Linthicum Heights, MD",1349
24005403202,"Gwynn Oak, Baltimore, MD",1347
24510230100,"Baltimore, MD",1344
24510210100,"Pigtown, Baltimore, MD",1341
24005421102,"Dundalk, MD",1340
24005403300,"Lochearn, Pikesville, MD",1340
24510220100,"Baltimore, MD",1339
24003750803,"Glen Burnie, MD",1337
24003751103,"Glen Burnie, MD",1336
24005451702,"Middle River, MD",1332
24005441000,"Baltimore, MD",1324
24005411307,"Nottingham, MD",1322
24005450900,"Essex, MD",1322
24005420402,"Dundalk, MD",1314
24005491300,"Baltimore, MD",1311
24005451900,"Edgemere, MD",1310
24510150701,"Hanlon Longwood, Baltimore, MD",1307
24510271400,"Evergreen, Baltimore, MD",1304
24510260301,"Belair - Edison, Baltimore, MD",1303
24003750102,"Baltimore, MD",1299
24005402307,"Pikesville, MD",1292
24510271503,"Cross Keys, Baltimore, MD",1289
24510260700,"Fifteenth Street, Baltimore, MD",1288
24003751102,"Glen Burnie, MD",1285
24005490800,"Towson, MD",1280
24005451401,"Middle River, MD",1278
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",1268
24510020100,"Upper Fells Point, Baltimore, MD",1259
24005402407,"Windsor Mill, Milford Mill, MD",1258
24510210200,"Pigtown, Baltimore, MD",1257
24005420401,"Dundalk, MD",1250
24510271300,"Roland Park, Baltimore, MD",1248
24005492002,"Parkville, MD",1245
24005490605,"Towson, MD",1240
24003750804,"Glen Burnie, MD",1237
24005401506,"Windsor Mill, Baltimore, MD",1233
24510270801,"Idlewood, Baltimore, MD",1231
24005402602,"Randallstown, MD",1231
24510261100,"Canton, Baltimore, MD",1230
24005420600,"Baltimore, MD",1228
24005451500,"Middle River, MD",1224
24005451600,"Middle River, MD",1223
24005492001,"Parkville, MD",1221
24510060100,"Patterson Park, Baltimore, MD",1218
24005490602,"Baltimore, MD",1217
24510040200,"Downtown, Baltimore, MD",1217
24510271501,"Mount Washington, Baltimore, MD",1212
24510160802,"Edmondson, Baltimore, MD",1211
24005402304,"Gwynn Oak, Baltimore, MD",1206
24510120100,"Tuscany - Canterbury, Baltimore, MD",1201
24005401000,"Catonsville, MD",1198
24005440100,"Baltimore, MD",1197
24005402506,"Randallstown, MD",1196
24510260404,"Baltimore Highlands, Baltimore, MD",1193
24005452100,"Sparrows Point, MD",1183
24005492300,"Essex, MD",1179
24005430600,"Relay, Halethorpe, MD",1175
24005452300,"Baltimore, MD",1175
24005490603,"Baltimore, MD",1175
24005420302,"Dundalk, MD",1174
24005440400,"Baltimore, MD",1173
24510080101,"Belair - Edison, Baltimore, MD",1173
24005441102,"Rosedale, MD",1173
24005440800,"Rosedale, MD",1172
24003750400,"Linthicum Heights, MD",1170
24510270301,"Lauraville, Baltimore, MD",1169
24005492500,"Baltimore, MD",1165
24005401507,"Windsor Mill, Baltimore, MD",1165
24510080102,"Belair - Edison, Baltimore, MD",1165
24005403500,"Pikesville, MD",1162
24005400702,"Baltimore, MD",1160
24005440200,"Nottingham, MD",1158
24005400800,"Catonsville, MD",1156
24005450400,"Essex, MD",1156
24005492101,"Parkville, MD",1154
24510120201,"Baltimore, MD",1147
24005440300,"Nottingham, MD",1147
24005430800,"Halethorpe, MD",1141
24005401200,"Woodlawn, MD",1141
24510272005,"Cross Country, Baltimore, MD",1140
24510020200,"Upper Fells Point, Baltimore, MD",1138
24005402302,"Windsor Mill, Milford Mill, MD",1137
24510090800,"East Baltimore Midway, Baltimore, MD",1132
24510272003,"Baltimore, MD",1130
24005400701,"Catonsville, MD",1130
24510110100,"Downtown, Baltimore, MD",1125
24005402503,"Randallstown, MD",1125
24510130804,"Hampden, Baltimore, MD",1125
24025301401,"Harford County, MD",1123
24510070100,"Baltimore, MD",1122
24510130803,"Medfield, Baltimore, MD",1122
24003750201,"Brooklyn, Baltimore, MD",1120
24003750101,"Brooklyn Park, MD",1118
24005420500,"Baltimore, MD",1117
24510280101,"Reisterstown Station, Baltimore, MD",1116
24510150702,"Walbrook, Baltimore, MD",1115
24005411408,"Nottingham, MD",1112
24510200702,"Saint Joseph's, Baltimore, MD",1112
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",1111
24005440701,"Rosedale, MD",1110
24510090500,"Better Waverly, Baltimore, MD",1110
24005451803,"Middle River, MD",1110
24005491402,"Parkville, MD",1109
24005402303,"Windsor Mill, Baltimore, MD",1106
24510200100,"Lexington, Baltimore, MD",1106
24510272007,"Fallstaff, Baltimore, MD",1105
24005401102,"Gwynn Oak, Woodlawn, MD",1103
24510120700,"Remington, Baltimore, MD",1103
24510272004,"Cheswolde, Baltimore, MD",1100
24510080301,"Berea, Baltimore, MD",1099
24005402405,"Gwynn Oak, Baltimore, MD",1095
24005491401,"Parkville, MD",1095
24510200600,"Baltimore, MD",1094
24005451402,"Middle River, MD",1094
24005450503,"Essex, MD",1091
24510261000,"Patterson Park, Baltimore, MD",1090
24510080500,"Darley Park, Baltimore, MD",1090
24005400900,"Catonsville, MD",1090
24005491500,"Parkville, MD",1088
24510250205,"Lakeland, Baltimore, MD",1085
24510120300,"Harwood, Baltimore, MD",1085
24510260800,"Baltimore Highlands, Baltimore, MD",1078
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",1073
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",1072
24005430400,"Halethorpe, MD",1071
24510130400,"Woodbrook, Baltimore, MD",1069
24510270803,"Loch Raven, Baltimore, MD",1065
24005400200,"Catonsville, MD",1065
24510250203,"Cherry Hill, Baltimore, MD",1064
24510160700,"Rosemont, Baltimore, MD",1062
24510260501,"Joseph Lee, Baltimore, MD",1061
24005420303,"Dundalk, MD",1060
24005420200,"Dundalk, MD",1056
24005402305,"Lochearn, Pikesville, MD",1047
24005402306,"Windsor Mill, Baltimore, MD",1047
24510110200,"Downtown, Baltimore, MD",1045
24510250102,"Yale Heights, Baltimore, MD",1044
24510070200,"Madison - Eastend, Baltimore, MD",1041
24005440900,"Rosedale, MD",1041
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",1039
24510080700,"Broadway East, Baltimore, MD",1038
24510150300,"Coppin Heights, Baltimore, MD",1032
24510200200,"Lexington, Baltimore, MD",1029
24510080600,"Broadway East, Baltimore, MD",1029
24005420800,"Dundalk, MD",1028
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",1024
24510260302,"Belair - Edison, Baltimore, MD",1023
24510120400,"Barclay, Baltimore, MD",1020
24005440500,"Nottingham, MD",1015
24510260101,"Cedmont, Baltimore, MD",1012
24510260303,"Claremont - Freedom, Baltimore, MD",1006
24510270402,"Glenham-Belford, Baltimore, MD",1006
24510280403,"Westgate, Baltimore, MD",1003
24510280301,"Gwynn Oak, Baltimore, MD",1001
24510200300,"Bentalou-Smallwood, Baltimore, MD",1000
24005402404,"Gwynn Oak, Lochearn, MD",997
24510280200,"Gwynn Oak, Baltimore, MD",991
24005451300,"Middle River, MD",990
24510271700,"Central Park Heights, Baltimore, MD",987
24005430900,"Baltimore, MD",984
24005491100,"Baltimore, MD",983
24510160400,"Midtown Edmondson, Baltimore, MD",982
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",982
24510271200,"Homeland, Baltimore, MD",980
24510270200,"Lauraville, Baltimore, MD",980
24510250101,"Beechfield, Baltimore, MD",978
24510130300,"Penn North, Baltimore, MD",976
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",972
24003750202,"Brooklyn Park, MD",971
24005451000,"Essex, MD",970
24510190200,"Pratt Monroe, Baltimore, MD",969
24005420701,"Dundalk, MD",968
24510270901,"New Northwood, Baltimore, MD",968
24005400600,"Catonsville, MD",967
24005450800,"Essex, MD",967
24510250401,"Brooklyn, Baltimore, MD",967
24510160801,"Edmondson, Baltimore, MD",966
24005451801,"Middle River, MD",961
24510120202,"Baltimore, MD",961
24510170100,"Downtown, Baltimore, MD",961
24510180300,"Hollins Market, Baltimore, MD",960
24510280302,"West Forest Park, Baltimore, MD",959
24510130200,"Reservoir Hill, Baltimore, MD",959
24510151300,"Central Park Heights, Baltimore, MD",957
24510260203,"Frankford, Baltimore, MD",956
24510270804,"Lake Walker, Baltimore, MD",956
24510140300,"Druid Heights, Baltimore, MD",955
24510250206,"Morrell Park, Baltimore, MD",954
24510260605,"Medford - Broening, Baltimore, MD",951
24510271802,"Langston Hughes, Baltimore, MD",950
24510130700,"Hampden, Baltimore, MD",947
24510270703,"North Harford Road, Baltimore, MD",945
24510270401,"Glenham-Belford, Baltimore, MD",942
24510250303,"Morrell Park, Baltimore, MD",940
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",940
24510270903,"Hillen, Baltimore, MD",935
24510270805,"Mid-Govans, Baltimore, MD",933
24510271600,"Edgecomb, Baltimore, MD",932
24510150800,"Garwyn Oaks, Baltimore, MD",925
24003751200,"Linthicum Heights, MD",925
24510271900,"Glen, Baltimore, MD",920
24005403402,"Pikesville, MD",919
24005420301,"Dundalk, MD",918
24005451802,"Middle River, MD",918
24510250500,"Curtis Bay, Baltimore, MD",912
24510150900,"Windsor Hills, Baltimore, MD",912
24510150400,"Mondawmin, Baltimore, MD",911
24510120500,"Greenmount West, Baltimore, MD",908
24510080800,"Broadway East, Baltimore, MD",906
24510280102,"Gwynn Oak, Baltimore, MD",902
24510270101,"Arcadia, Baltimore, MD",900
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",897
24510090400,"Better Waverly, Baltimore, MD",896
24005421300,"Dundalk, MD",896
24510270802,"Ramblewood, Baltimore, MD",896
24510150200,"Sandtown-Winchester, Baltimore, MD",895
24005421200,"Dundalk, MD",894
24510070400,"Gay Street, Baltimore, MD",894
24005450504,"Essex, MD",893
24510150500,"Burleith-Leighton, Baltimore, MD",893
24005402403,"Gwynn Oak, Baltimore, MD",890
24510151000,"Dorchester, Baltimore, MD",888
24510250207,"Cherry Hill, Baltimore, MD",888
24510270302,"Waltherson, Baltimore, MD",881
24510271002,"Winston - Govans, Baltimore, MD",881
24510270501,"Woodring, Baltimore, MD",880
24510200500,"Mill Hill, Baltimore, MD",879
