tract,Name,Fraction_Single_Parents_in_2012-16
24510110100,"Downtown, Baltimore, MD",1
24510150100,"Sandtown-Winchester, Baltimore, MD",1
24510080700,"Broadway East, Baltimore, MD",1
24510090900,"Oliver, Baltimore, MD",1
24510250301,"Westport, Baltimore, MD",1
24510180100,"Poppleton, Baltimore, MD",0.983
24510140200,"Upton, Baltimore, MD",0.9808
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.9779
24510100200,"Baltimore, MD",0.9776
24510190100,"Franklin Square, Baltimore, MD",0.9745
24510080800,"Broadway East, Baltimore, MD",0.9701
24510090800,"East Baltimore Midway, Baltimore, MD",0.9563
24510271802,"Langston Hughes, Baltimore, MD",0.9518
24510170300,"Upton, Baltimore, MD",0.9407
24510080600,"Broadway East, Baltimore, MD",0.9385
24510170100,"Downtown, Baltimore, MD",0.9333
24510080301,"Berea, Baltimore, MD",0.9328
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.9279
24510250204,"Cherry Hill, Baltimore, MD",0.9276
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.9238
24510030100,"Perkins Homes, Baltimore, MD",0.9212
24510120600,"Old Goucher, Baltimore, MD",0.913
24510280500,"Pleasant View Gardens, Baltimore, MD",0.9087
24510160400,"Midtown Edmondson, Baltimore, MD",0.9078
24510280404,"Irvington, Baltimore, MD",0.9044
24510170200,"McCulloh Homes, Baltimore, MD",0.8993
24510150702,"Walbrook, Baltimore, MD",0.896
24510260302,"Belair - Edison, Baltimore, MD",0.8906
24510160600,"Mosher, Baltimore, MD",0.88
24510070200,"Madison - Eastend, Baltimore, MD",0.8785
24510250101,"Beechfield, Baltimore, MD",0.874
24510271002,"Winston - Govans, Baltimore, MD",0.8706
24510150500,"Burleith-Leighton, Baltimore, MD",0.8687
24510260303,"Claremont - Freedom, Baltimore, MD",0.8676
24510280302,"West Forest Park, Baltimore, MD",0.8635
24510200702,"Saint Joseph's, Baltimore, MD",0.8592
24510260301,"Belair - Edison, Baltimore, MD",0.8592
24510271001,"Baltimore, MD",0.8591
24510130200,"Reservoir Hill, Baltimore, MD",0.8571
24510160100,"Harlem Park, Baltimore, MD",0.8562
24510260604,"O'Donnell Heights, Baltimore, MD",0.856
24510150600,"NW Community Action, Baltimore, MD",0.8549
24510160300,"Sandtown-Winchester, Baltimore, MD",0.8523
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.8514
24510070100,"Baltimore, MD",0.8487
24510180300,"Hollins Market, Baltimore, MD",0.8478
24510250102,"Yale Heights, Baltimore, MD",0.8458
24510080500,"Darley Park, Baltimore, MD",0.8414
24510160200,"Sandtown-Winchester, Baltimore, MD",0.8379
24510271801,"Arlington, Baltimore, MD",0.8325
24510150701,"Hanlon Longwood, Baltimore, MD",0.8218
24510150800,"Garwyn Oaks, Baltimore, MD",0.8172
24510200400,"Shipley Hill, Baltimore, MD",0.8133
24510151000,"Dorchester, Baltimore, MD",0.8067
24003751103,"Glen Burnie, MD",0.8065
24510070400,"Gay Street, Baltimore, MD",0.8062
24510280301,"Gwynn Oak, Baltimore, MD",0.7962
24510150400,"Mondawmin, Baltimore, MD",0.7949
24510260403,"Cedonia, Baltimore, MD",0.7906
24510090400,"Better Waverly, Baltimore, MD",0.7879
24510060100,"Patterson Park, Baltimore, MD",0.7868
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.7825
24510151100,"East Arlington, Baltimore, MD",0.7823
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7784
24510210200,"Pigtown, Baltimore, MD",0.7772
24510151300,"Central Park Heights, Baltimore, MD",0.7681
24510080400,"Broadway East, Baltimore, MD",0.7653
24510160802,"Edmondson, Baltimore, MD",0.7593
24510200800,"Irvington, Baltimore, MD",0.7584
24510271600,"Edgecomb, Baltimore, MD",0.7578
24510120500,"Greenmount West, Baltimore, MD",0.7571
24510270902,"Perring Loch, Baltimore, MD",0.7566
24510140300,"Druid Heights, Baltimore, MD",0.7492
24005402307,"Pikesville, MD",0.746
24510210100,"Pigtown, Baltimore, MD",0.7459
24005402303,"Windsor Mill, Baltimore, MD",0.7444
24510120400,"Barclay, Baltimore, MD",0.7442
24005491401,"Parkville, MD",0.7436
24510200701,"Allendale, Baltimore, MD",0.7434
24510190200,"Pratt Monroe, Baltimore, MD",0.7368
