tract,Name,Teenage_Birth_Rate_women_only_rP_gF_pall
24510280500,"Pleasant View Gardens, Baltimore, MD",0.6596
24510250204,"Cherry Hill, Baltimore, MD",0.6561
24510100200,"Baltimore, MD",0.6279
24510120400,"Barclay, Baltimore, MD",0.6273
24510200100,"Lexington, Baltimore, MD",0.6078
24510170200,"McCulloh Homes, Baltimore, MD",0.6074
24510080200,"Broadway East, Baltimore, MD",0.6019
24510200400,"Shipley Hill, Baltimore, MD",0.5981
24510090900,"Oliver, Baltimore, MD",0.5971
24510271802,"Langston Hughes, Baltimore, MD",0.5966
24510080800,"Broadway East, Baltimore, MD",0.5878
24510170300,"Upton, Baltimore, MD",0.5866
24510060300,"Butchers Hill, Baltimore, MD",0.5857
24510080600,"Broadway East, Baltimore, MD",0.5767
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.5753
24510030100,"Perkins Homes, Baltimore, MD",0.5743
24510160300,"Sandtown-Winchester, Baltimore, MD",0.5693
24510160600,"Mosher, Baltimore, MD",0.5654
24510070400,"Gay Street, Baltimore, MD",0.5644
24510080700,"Broadway East, Baltimore, MD",0.563
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.5598
24510150200,"Sandtown-Winchester, Baltimore, MD",0.5571
24510090400,"Better Waverly, Baltimore, MD",0.5555
24510080500,"Darley Park, Baltimore, MD",0.5548
24510080102,"Belair - Edison, Baltimore, MD",0.5548
24510070200,"Madison - Eastend, Baltimore, MD",0.5545
24510130300,"Penn North, Baltimore, MD",0.554
24510090800,"East Baltimore Midway, Baltimore, MD",0.5517
24510160100,"Harlem Park, Baltimore, MD",0.5512
24510150100,"Sandtown-Winchester, Baltimore, MD",0.5511
24510120500,"Greenmount West, Baltimore, MD",0.5496
24510070300,"Milton - Montford, Baltimore, MD",0.5491
24510080302,"Berea, Baltimore, MD",0.5479
24510160400,"Midtown Edmondson, Baltimore, MD",0.5444
24510100100,"Johnson Square, Baltimore, MD",0.544
24510150500,"Burleith-Leighton, Baltimore, MD",0.5413
24510080400,"Broadway East, Baltimore, MD",0.5395
24510140200,"Upton, Baltimore, MD",0.5393
24510190100,"Franklin Square, Baltimore, MD",0.5361
24510271001,"Baltimore, MD",0.5327
24510120300,"Harwood, Baltimore, MD",0.5324
24510080301,"Berea, Baltimore, MD",0.5323
24510151300,"Central Park Heights, Baltimore, MD",0.5287
24510250301,"Westport, Baltimore, MD",0.5268
24510260403,"Cedonia, Baltimore, MD",0.5253
24510260402,"Frankford, Baltimore, MD",0.5218
24510150600,"NW Community Action, Baltimore, MD",0.5213
24510140300,"Druid Heights, Baltimore, MD",0.5186
24510120600,"Old Goucher, Baltimore, MD",0.5173
24510160200,"Sandtown-Winchester, Baltimore, MD",0.5169
24510060100,"Patterson Park, Baltimore, MD",0.5164
24510250203,"Cherry Hill, Baltimore, MD",0.5139
24510060200,"Baltimore, MD",0.5124
24510260604,"O'Donnell Heights, Baltimore, MD",0.5111
24510271801,"Arlington, Baltimore, MD",0.5046
24510150400,"Mondawmin, Baltimore, MD",0.5043
24510250207,"Cherry Hill, Baltimore, MD",0.504
24510271600,"Edgecomb, Baltimore, MD",0.5033
24510130100,"Reservoir Hill, Baltimore, MD",0.502
24510200200,"Lexington, Baltimore, MD",0.5007
24510090500,"Better Waverly, Baltimore, MD",0.5005
24510150800,"Garwyn Oaks, Baltimore, MD",0.4956
24510210200,"Pigtown, Baltimore, MD",0.4947
24510060400,"Baltimore, MD",0.4911
24510150300,"Coppin Heights, Baltimore, MD",0.491
24510200702,"Saint Joseph's, Baltimore, MD",0.4878
24510040200,"Downtown, Baltimore, MD",0.4869
24510130200,"Reservoir Hill, Baltimore, MD",0.4856
24510200800,"Irvington, Baltimore, MD",0.4802
24510271002,"Winston - Govans, Baltimore, MD",0.48
24510160802,"Edmondson, Baltimore, MD",0.4794
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.4782
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.4752
24510200701,"Allendale, Baltimore, MD",0.4737
24510030200,"Little Italy, Baltimore, MD",0.4733
24510160801,"Edmondson, Baltimore, MD",0.4687
24510130400,"Woodbrook, Baltimore, MD",0.4686
24510260303,"Claremont - Freedom, Baltimore, MD",0.4681
24510070100,"Baltimore, MD",0.4677
24510280301,"Gwynn Oak, Baltimore, MD",0.4664
24510190300,"Mount Clare, Baltimore, MD",0.4642
24510151200,"Park Circle, Baltimore, MD",0.4631
24510180200,"Poppleton, Baltimore, MD",0.4615
24510250600,"Brooklyn, Baltimore, MD",0.4612
24510150702,"Walbrook, Baltimore, MD",0.4597
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.4569
24510110200,"Downtown, Baltimore, MD",0.4538
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.4534
24510280200,"Gwynn Oak, Baltimore, MD",0.4519
24510200500,"Mill Hill, Baltimore, MD",0.4511
24510170100,"Downtown, Baltimore, MD",0.4509
24510151000,"Dorchester, Baltimore, MD",0.4479
24510271700,"Central Park Heights, Baltimore, MD",0.4455
24510180100,"Poppleton, Baltimore, MD",0.4445
24510270901,"New Northwood, Baltimore, MD",0.4402
24510150701,"Hanlon Longwood, Baltimore, MD",0.4393
24510260302,"Belair - Edison, Baltimore, MD",0.4344
24510200600,"Baltimore, MD",0.4341
24510260202,"Parkside, Baltimore, MD",0.4323
24510280404,"Irvington, Baltimore, MD",0.431
24005421300,"Dundalk, MD",0.4307
24510210100,"Pigtown, Baltimore, MD",0.4264
24510180300,"Hollins Market, Baltimore, MD",0.4261
24510160700,"Rosemont, Baltimore, MD",0.4242
24510120700,"Remington, Baltimore, MD",0.4193
24510261000,"Patterson Park, Baltimore, MD",0.4159
24510250101,"Beechfield, Baltimore, MD",0.4142
24510260404,"Baltimore Highlands, Baltimore, MD",0.412
24510190200,"Pratt Monroe, Baltimore, MD",0.4118
24510271503,"Cross Keys, Baltimore, MD",0.4104
24510150900,"Windsor Hills, Baltimore, MD",0.4094
24510250102,"Yale Heights, Baltimore, MD",0.4087
24510250402,"Brooklyn, Baltimore, MD",0.4078
24510260301,"Belair - Edison, Baltimore, MD",0.4077
24510280402,"Rognel Heights, Baltimore, MD",0.4055
24510260201,"Frankford, Baltimore, MD",0.3923
24510270802,"Ramblewood, Baltimore, MD",0.3905
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.3901
24510280101,"Reisterstown Station, Baltimore, MD",0.3882
24510080101,"Belair - Edison, Baltimore, MD",0.3829
24005491401,"Parkville, MD",0.38
24510270805,"Mid-Govans, Baltimore, MD",0.3773
24005402404,"Gwynn Oak, Lochearn, MD",0.3698
24510270803,"Loch Raven, Baltimore, MD",0.3689
24510250205,"Lakeland, Baltimore, MD",0.3626
24510260800,"Baltimore Highlands, Baltimore, MD",0.3623
24510151100,"East Arlington, Baltimore, MD",0.3615
24510270902,"Perring Loch, Baltimore, MD",0.3614
24510260203,"Frankford, Baltimore, MD",0.361
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.361
24005402307,"Pikesville, MD",0.3607
24005402304,"Gwynn Oak, Baltimore, MD",0.36
24005401102,"Gwynn Oak, Woodlawn, MD",0.3594
24510250500,"Curtis Bay, Baltimore, MD",0.356
24510280102,"Gwynn Oak, Baltimore, MD",0.3545
24005450503,"Essex, MD",0.3539
24510250303,"Morrell Park, Baltimore, MD",0.3534
24510110100,"Downtown, Baltimore, MD",0.3487
24510270903,"Hillen, Baltimore, MD",0.3452
24510130600,"Hampden, Baltimore, MD",0.3429
